"cohort_count","person_years","gender","age_group","calendar_year","incidence_rate","cohort_id","database_id"
0,933.2292950034223,,"10-19",2021,0,1,"SUBSET_AURUM"
0,-5,,"100-109",2013,0,1,"SUBSET_AURUM"
0,5.804243668720055,,"100-109",2014,0,1,"SUBSET_AURUM"
0,10.472279260780287,,"100-109",2015,0,1,"SUBSET_AURUM"
0,22.73511293634497,,"100-109",2016,0,1,"SUBSET_AURUM"
0,43.76454483230664,,"100-109",2017,0,1,"SUBSET_AURUM"
0,80.2381930184805,,"100-109",2018,0,1,"SUBSET_AURUM"
-5,163.63586584531143,,"100-109",2019,-30.555648507562577,1,"SUBSET_AURUM"
-5,301.60985626283366,,"100-109",2020,-16.577707578769644,1,"SUBSET_AURUM"
-5,37.20739219712526,,"100-109",2021,-134.38189845474614,1,"SUBSET_AURUM"
0,-5,,"20-29",1937,0,1,"SUBSET_AURUM"
0,-5,,"20-29",1938,0,1,"SUBSET_AURUM"
0,-5,,"20-29",1939,0,1,"SUBSET_AURUM"
0,-5,,"20-29",1940,0,1,"SUBSET_AURUM"
0,-5,,"20-29",1941,0,1,"SUBSET_AURUM"
0,-5,,"20-29",1942,0,1,"SUBSET_AURUM"
0,-5,,"20-29",1943,0,1,"SUBSET_AURUM"
0,10.513347022587268,,"20-29",1944,0,1,"SUBSET_AURUM"
0,20.52292950034223,,"20-29",1945,0,1,"SUBSET_AURUM"
0,32.35318275154004,,"20-29",1946,0,1,"SUBSET_AURUM"
0,53.77960301163587,,"20-29",1947,0,1,"SUBSET_AURUM"
0,106.8309377138946,,"20-29",1948,0,1,"SUBSET_AURUM"
0,164.62696783025325,,"20-29",1949,0,1,"SUBSET_AURUM"
0,204.51745379876797,,"20-29",1950,0,1,"SUBSET_AURUM"
0,257.88090349075975,,"20-29",1951,0,1,"SUBSET_AURUM"
0,316.60232717316904,,"20-29",1952,0,1,"SUBSET_AURUM"
0,380.6981519507187,,"20-29",1953,0,1,"SUBSET_AURUM"
0,437.50034223134844,,"20-29",1954,0,1,"SUBSET_AURUM"
0,504.85420944558524,,"20-29",1955,0,1,"SUBSET_AURUM"
0,580.0136892539357,,"20-29",1956,0,1,"SUBSET_AURUM"
0,657.4893908281998,,"20-29",1957,0,1,"SUBSET_AURUM"
0,714.9897330595483,,"20-29",1958,0,1,"SUBSET_AURUM"
0,781.1526351813826,,"20-29",1959,0,1,"SUBSET_AURUM"
0,847.8220396988364,,"20-29",1960,0,1,"SUBSET_AURUM"
0,896.76933607118406,,"20-29",1961,0,1,"SUBSET_AURUM"
0,984.1396303901438,,"20-29",1962,0,1,"SUBSET_AURUM"
0,1058.0807665982204,,"20-29",1963,0,1,"SUBSET_AURUM"
0,1157.6947296372348,,"20-29",1964,0,1,"SUBSET_AURUM"
0,1239.0171115674198,,"20-29",1965,0,1,"SUBSET_AURUM"
0,1318.1629021218343,,"20-29",1966,0,1,"SUBSET_AURUM"
0,1439.2224503764544,,"20-29",1967,0,1,"SUBSET_AURUM"
0,1544.3367556468172,,"20-29",1968,0,1,"SUBSET_AURUM"
0,1599.0171115674198,,"20-29",1969,0,1,"SUBSET_AURUM"
0,1745.8480492813142,,"20-29",1970,0,1,"SUBSET_AURUM"
0,1873.946611909651,,"20-29",1971,0,1,"SUBSET_AURUM"
0,2000.563997262149,,"20-29",1972,0,1,"SUBSET_AURUM"
0,2167.2689938398357,,"20-29",1973,0,1,"SUBSET_AURUM"
0,2312.2491444216294,,"20-29",1974,0,1,"SUBSET_AURUM"
0,2560.3175906913075,,"20-29",1975,0,1,"SUBSET_AURUM"
0,2836.747433264887,,"20-29",1976,0,1,"SUBSET_AURUM"
0,3125.921971252567,,"20-29",1977,0,1,"SUBSET_AURUM"
0,3544.0082135523617,,"20-29",1978,0,1,"SUBSET_AURUM"
0,3991.8001368925397,,"20-29",1979,0,1,"SUBSET_AURUM"
0,4506.584531143053,,"20-29",1980,0,1,"SUBSET_AURUM"
0,5091.318275154004,,"20-29",1981,0,1,"SUBSET_AURUM"
